Similarity Measure:	Cosine	 R_th 	69.0	 R:=10
nbr i 	 nbr R 	 t(min) 	 mean SM 	 STD SM: 
1	491	0.0101236661275	0.542581055295	0.211256327278
2	375	0.0176271478335	0.439633448385	0.225691625449
3	299	0.0254077672958	0.381784508212	0.227498225171
4	234	0.0340083320936	0.321149172149	0.22022009348
5	191	0.0441377162933	0.277333973826	0.213665250835
6	163	0.0556213498116	0.25155714756	0.207853245793
7	139	0.0676650007566	0.213220631349	0.197934625585
8	117	0.0856744805972	0.196219893881	0.192456167363
9	094	0.104352450371	0.171499698283	0.182287258057
10	077	0.130118846893	0.147689251261	0.172234460566
11	065	0.160434699059	0.11719531128	0.158773913875
12	053	0.206016981602	0.109625185689	0.15308236615
13	045	0.236281049252	0.0901122366281	0.139509205108
14	040	0.275637098153	0.0883813697724	0.137609045258
15	036	0.304700100422	0.0814029323261	0.131489586538
16	028	0.319988099734	0.0775923910832	0.128899317971
17	024	0.332459382216	0.0761014670258	0.127857965961
18	020	0.348209949334	0.058269111261	0.114623718273
19	018	0.357715165615	0.0538293683019	0.110704077603
20	010	0.373130563895	0.0500102433167	0.106803224702
